Country Code,TZ Identifier,STD,DST,Time Zone Standard,Time Zone Daylight
"CI,?BF,?GH,?GM,?GN,?IS,?ML,?MR,?SH,?SL,?SN,?TG",Africa/Abidjan,+00:00,+00:00,GMT,
GH,Africa/Accra,+00:00,+00:00,GMT,
ET,Africa/Addis_Ababa,+03:00,+03:00,EAT,
DZ,Africa/Algiers,+01:00,+01:00,CET,
ER,Africa/Asmara,+03:00,+03:00,EAT,
ER,Africa/Asmera,+03:00,+03:00,EAT,
ML,Africa/Bamako,+00:00,+00:00,GMT,
CF,Africa/Bangui,+01:00,+01:00,WAT,
GM,Africa/Banjul,+00:00,+00:00,GMT,
GW,Africa/Bissau,+00:00,+00:00,GMT,
MW,Africa/Blantyre,+02:00,+02:00,CAT,
CG,Africa/Brazzaville,+01:00,+01:00,WAT,
BI,Africa/Bujumbura,+02:00,+02:00,CAT,
EG,Africa/Cairo,+02:00,+03:00,EET,EEST
MA,Africa/Casablanca,+01:00,+00:00,1,0
ES,Africa/Ceuta,+01:00,+02:00,CET,CEST
GN,Africa/Conakry,+00:00,+00:00,GMT,
SN,Africa/Dakar,+00:00,+00:00,GMT,
TZ,Africa/Dar_es_Salaam,+03:00,+03:00,EAT,
DJ,Africa/Djibouti,+03:00,+03:00,EAT,
CM,Africa/Douala,+01:00,+01:00,WAT,
EH,Africa/El_Aaiun,+01:00,+00:00,1,0
SL,Africa/Freetown,+00:00,+00:00,GMT,
BW,Africa/Gaborone,+02:00,+02:00,CAT,
ZW,Africa/Harare,+02:00,+02:00,CAT,
"ZA,?LS,?SZ",Africa/Johannesburg,+02:00,+02:00,SAST,
SS,Africa/Juba,+02:00,+02:00,CAT,
UG,Africa/Kampala,+03:00,+03:00,EAT,
SD,Africa/Khartoum,+02:00,+02:00,CAT,
RW,Africa/Kigali,+02:00,+02:00,CAT,
CD,Africa/Kinshasa,+01:00,+01:00,WAT,
"NG,?AO,?BJ,?CD,?CF,?CG,?CM,?GA,?GQ,?NE",Africa/Lagos,+01:00,+01:00,WAT,
GA,Africa/Libreville,+01:00,+01:00,WAT,
TG,Africa/Lome,+00:00,+00:00,GMT,
AO,Africa/Luanda,+01:00,+01:00,WAT,
CD,Africa/Lubumbashi,+02:00,+02:00,CAT,
ZM,Africa/Lusaka,+02:00,+02:00,CAT,
GQ,Africa/Malabo,+01:00,+01:00,WAT,
"MZ,?BI,?BW,?CD,?MW,?RW,?ZM,?ZW",Africa/Maputo,+02:00,+02:00,CAT,
LS,Africa/Maseru,+02:00,+02:00,SAST,
SZ,Africa/Mbabane,+02:00,+02:00,SAST,
SO,Africa/Mogadishu,+03:00,+03:00,EAT,
LR,Africa/Monrovia,+00:00,+00:00,GMT,
"KE,?DJ,?ER,?ET,?KM,?MG,?SO,?TZ,?UG,?YT",Africa/Nairobi,+03:00,+03:00,EAT,
TD,Africa/Ndjamena,+01:00,+01:00,WAT,
NE,Africa/Niamey,+01:00,+01:00,WAT,
MR,Africa/Nouakchott,+00:00,+00:00,GMT,
BF,Africa/Ouagadougou,+00:00,+00:00,GMT,
BJ,Africa/Porto-Novo,+01:00,+01:00,WAT,
ST,Africa/Sao_Tome,+00:00,+00:00,GMT,
ML,Africa/Timbuktu,+00:00,+00:00,GMT,
LY,Africa/Tripoli,+02:00,+02:00,EET,
TN,Africa/Tunis,+01:00,+01:00,CET,
NA,Africa/Windhoek,+02:00,+02:00,CAT,
US,America/Adak,?10:00,?09:00,HST,HDT
US,America/Anchorage,?09:00,?08:00,AKST,AKDT
AI,America/Anguilla,?04:00,?04:00,AST,
AG,America/Antigua,?04:00,?04:00,AST,
BR,America/Araguaina,?03:00,?03:00,-3,
AR,America/Argentina/Buenos_Aires,?03:00,?03:00,-3,
AR,America/Argentina/Catamarca,?03:00,?03:00,-3,
AR,America/Argentina/ComodRivadavia,?03:00,?03:00,-3,
AR,America/Argentina/Cordoba,?03:00,?03:00,-3,
AR,America/Argentina/Jujuy,?03:00,?03:00,-3,
AR,America/Argentina/La_Rioja,?03:00,?03:00,-3,
AR,America/Argentina/Mendoza,?03:00,?03:00,-3,
AR,America/Argentina/Rio_Gallegos,?03:00,?03:00,-3,
AR,America/Argentina/Salta,?03:00,?03:00,-3,
AR,America/Argentina/San_Juan,?03:00,?03:00,-3,
AR,America/Argentina/San_Luis,?03:00,?03:00,-3,
AR,America/Argentina/Tucuman,?03:00,?03:00,-3,
AR,America/Argentina/Ushuaia,?03:00,?03:00,-3,
AW,America/Aruba,?04:00,?04:00,AST,
PY,America/Asuncion,?04:00,?03:00,-4,-3
CA,America/Atikokan,?05:00,?05:00,EST,
US,America/Atka,?10:00,?09:00,HST,HDT
BR,America/Bahia,?03:00,?03:00,-3,
MX,America/Bahia_Banderas,?06:00,?06:00,CST,
BB,America/Barbados,?04:00,?04:00,AST,
BR,America/Belem,?03:00,?03:00,-3,
BZ,America/Belize,?06:00,?06:00,CST,
CA,America/Blanc-Sablon,?04:00,?04:00,AST,
BR,America/Boa_Vista,?04:00,?04:00,-4,
CO,America/Bogota,?05:00,?05:00,-5,
US,America/Boise,?07:00,?06:00,MST,MDT
AR,America/Buenos_Aires,?03:00,?03:00,-3,
CA,America/Cambridge_Bay,?07:00,?06:00,MST,MDT
BR,America/Campo_Grande,?04:00,?04:00,-4,
MX,America/Cancun,?05:00,?05:00,EST,
VE,America/Caracas,?04:00,?04:00,-4,
AR,America/Catamarca,?03:00,?03:00,-3,
GF,America/Cayenne,?03:00,?03:00,-3,
KY,America/Cayman,?05:00,?05:00,EST,
US,America/Chicago,?06:00,?05:00,CST,CDT
MX,America/Chihuahua,?06:00,?06:00,CST,
MX,America/Ciudad_Juarez,?07:00,?06:00,MST,MDT
CA,America/Coral_Harbour,?05:00,?05:00,EST,
AR,America/Cordoba,?03:00,?03:00,-3,
CR,America/Costa_Rica,?06:00,?06:00,CST,
CA,America/Creston,?07:00,?07:00,MST,
BR,America/Cuiaba,?04:00,?04:00,-4,
CW,America/Curacao,?04:00,?04:00,AST,
GL,America/Danmarkshavn,+00:00,+00:00,GMT,
CA,America/Dawson,?07:00,?07:00,MST,
CA,America/Dawson_Creek,?07:00,?07:00,MST,
US,America/Denver,?07:00,?06:00,MST,MDT
US,America/Detroit,?05:00,?04:00,EST,EDT
DM,America/Dominica,?04:00,?04:00,AST,
CA,America/Edmonton,?07:00,?06:00,MST,MDT
BR,America/Eirunepe,?05:00,?05:00,-5,
SV,America/El_Salvador,?06:00,?06:00,CST,
MX,America/Ensenada,?08:00,?07:00,PST,PDT
CA,America/Fort_Nelson,?07:00,?07:00,MST,
US,America/Fort_Wayne,?05:00,?04:00,EST,EDT
BR,America/Fortaleza,?03:00,?03:00,-3,
CA,America/Glace_Bay,?04:00,?03:00,AST,ADT
GL,America/Godthab,?02:00,?02:00,-2,-2
CA,America/Goose_Bay,?04:00,?03:00,AST,ADT
TC,America/Grand_Turk,?05:00,?04:00,EST,EDT
GD,America/Grenada,?04:00,?04:00,AST,
GP,America/Guadeloupe,?04:00,?04:00,AST,
GT,America/Guatemala,?06:00,?06:00,CST,
EC,America/Guayaquil,?05:00,?05:00,-5,
GY,America/Guyana,?04:00,?04:00,-4,
CA,America/Halifax,?04:00,?03:00,AST,ADT
CU,America/Havana,?05:00,?04:00,CST,CDT
MX,America/Hermosillo,?07:00,?07:00,MST,
US,America/Indiana/Indianapolis,?05:00,?04:00,EST,EDT
US,America/Indiana/Knox,?06:00,?05:00,CST,CDT
US,America/Indiana/Marengo,?05:00,?04:00,EST,EDT
US,America/Indiana/Petersburg,?05:00,?04:00,EST,EDT
US,America/Indiana/Tell_City,?06:00,?05:00,CST,CDT
US,America/Indiana/Vevay,?05:00,?04:00,EST,EDT
US,America/Indiana/Vincennes,?05:00,?04:00,EST,EDT
US,America/Indiana/Winamac,?05:00,?04:00,EST,EDT
US,America/Indianapolis,?05:00,?04:00,EST,EDT
CA,America/Inuvik,?07:00,?06:00,MST,MDT
CA,America/Iqaluit,?05:00,?04:00,EST,EDT
JM,America/Jamaica,?05:00,?05:00,EST,
AR,America/Jujuy,?03:00,?03:00,-3,
US,America/Juneau,?09:00,?08:00,AKST,AKDT
US,America/Kentucky/Louisville,?05:00,?04:00,EST,EDT
US,America/Kentucky/Monticello,?05:00,?04:00,EST,EDT
US,America/Knox_IN,?06:00,?05:00,CST,CDT
BQ,America/Kralendijk,?04:00,?04:00,AST,
BO,America/La_Paz,?04:00,?04:00,-4,
PE,America/Lima,?05:00,?05:00,-5,
US,America/Los_Angeles,?08:00,?07:00,PST,PDT
US,America/Louisville,?05:00,?04:00,EST,EDT
SX,America/Lower_Princes,?04:00,?04:00,AST,
BR,America/Maceio,?03:00,?03:00,-3,
NI,America/Managua,?06:00,?06:00,CST,
BR,America/Manaus,?04:00,?04:00,-4,
MF,America/Marigot,?04:00,?04:00,AST,
MQ,America/Martinique,?04:00,?04:00,AST,
MX,America/Matamoros,?06:00,?05:00,CST,CDT
MX,America/Mazatlan,?07:00,?07:00,MST,
AR,America/Mendoza,?03:00,?03:00,-3,
US,America/Menominee,?06:00,?05:00,CST,CDT
MX,America/Merida,?06:00,?06:00,CST,
US,America/Metlakatla,?09:00,?08:00,AKST,AKDT
MX,America/Mexico_City,?06:00,?06:00,CST,
PM,America/Miquelon,?03:00,?02:00,-3,-2
CA,America/Moncton,?04:00,?03:00,AST,ADT
MX,America/Monterrey,?06:00,?06:00,CST,
UY,America/Montevideo,?03:00,?03:00,-3,
CA,America/Montreal,?05:00,?04:00,EST,EDT
MS,America/Montserrat,?04:00,?04:00,AST,
BS,America/Nassau,?05:00,?04:00,EST,EDT
US,America/New_York,?05:00,?04:00,EST,EDT
CA,America/Nipigon,?05:00,?04:00,EST,EDT
US,America/Nome,?09:00,?08:00,AKST,AKDT
BR,America/Noronha,?02:00,?02:00,-2,
US,America/North_Dakota/Beulah,?06:00,?05:00,CST,CDT
US,America/North_Dakota/Center,?06:00,?05:00,CST,CDT
US,America/North_Dakota/New_Salem,?06:00,?05:00,CST,CDT
GL,America/Nuuk,?02:00,?02:00,-2,-2
MX,America/Ojinaga,?06:00,?05:00,CST,CDT
"PA,?CA,?KY",America/Panama,?05:00,?05:00,EST,
CA,America/Pangnirtung,?05:00,?04:00,EST,EDT
SR,America/Paramaribo,?03:00,?03:00,-3,
"US,?CA",America/Phoenix,?07:00,?07:00,MST,
HT,America/Port-au-Prince,?05:00,?04:00,EST,EDT
TT,America/Port_of_Spain,?04:00,?04:00,AST,
BR,America/Porto_Acre,?05:00,?05:00,-5,
BR,America/Porto_Velho,?04:00,?04:00,-4,
"PR,?AG,?CA,?AI,?AW,?BL,?BQ,?CW,?DM,?GD,?GP,?KN,?LC,?MF,?MS,?SX,?TT,?VC,?VG,?VI",America/Puerto_Rico,?04:00,?04:00,AST,
CL,America/Punta_Arenas,?03:00,?03:00,-3,
CA,America/Rainy_River,?06:00,?05:00,CST,CDT
CA,America/Rankin_Inlet,?06:00,?05:00,CST,CDT
BR,America/Recife,?03:00,?03:00,-3,
CA,America/Regina,?06:00,?06:00,CST,
CA,America/Resolute,?06:00,?05:00,CST,CDT
BR,America/Rio_Branco,?05:00,?05:00,-5,
AR,America/Rosario,?03:00,?03:00,-3,
MX,America/Santa_Isabel,?08:00,?07:00,PST,PDT
BR,America/Santarem,?03:00,?03:00,-3,
CL,America/Santiago,?04:00,?03:00,-4,-3
DO,America/Santo_Domingo,?04:00,?04:00,AST,
BR,America/Sao_Paulo,?03:00,?03:00,-3,
GL,America/Scoresbysund,?01:00,+00:00,-1,0
US,America/Shiprock,?07:00,?06:00,MST,MDT
US,America/Sitka,?09:00,?08:00,AKST,AKDT
BL,America/St_Barthelemy,?04:00,?04:00,AST,
CA,America/St_Johns,?03:30,?02:30,NST,NDT
KN,America/St_Kitts,?04:00,?04:00,AST,
LC,America/St_Lucia,?04:00,?04:00,AST,
VI,America/St_Thomas,?04:00,?04:00,AST,
VC,America/St_Vincent,?04:00,?04:00,AST,
CA,America/Swift_Current,?06:00,?06:00,CST,
HN,America/Tegucigalpa,?06:00,?06:00,CST,
GL,America/Thule,?04:00,?03:00,AST,ADT
CA,America/Thunder_Bay,?05:00,?04:00,EST,EDT
MX,America/Tijuana,?08:00,?07:00,PST,PDT
"CA,?BS",America/Toronto,?05:00,?04:00,EST,EDT
VG,America/Tortola,?04:00,?04:00,AST,
CA,America/Vancouver,?08:00,?07:00,PST,PDT
VI,America/Virgin,?04:00,?04:00,AST,
CA,America/Whitehorse,?07:00,?07:00,MST,
CA,America/Winnipeg,?06:00,?05:00,CST,CDT
US,America/Yakutat,?09:00,?08:00,AKST,AKDT
CA,America/Yellowknife,?07:00,?06:00,MST,MDT
AQ,Antarctica/Casey,+11:00,+11:00,11,
AQ,Antarctica/Davis,+07:00,+07:00,7,
AQ,Antarctica/DumontDUrville,+10:00,+10:00,10,
AU,Antarctica/Macquarie,+10:00,+11:00,AEST,AEDT
AQ,Antarctica/Mawson,+05:00,+05:00,5,
AQ,Antarctica/McMurdo,+12:00,+13:00,NZST,NZDT
AQ,Antarctica/Palmer,?03:00,?03:00,-3,
AQ,Antarctica/Rothera,?03:00,?03:00,-3,
AQ,Antarctica/South_Pole,+12:00,+13:00,NZST,NZDT
AQ,Antarctica/Syowa,+03:00,+03:00,3,
AQ,Antarctica/Troll,+00:00,+02:00,0,2
AQ,Antarctica/Vostok,+06:00,+06:00,6,
SJ,Arctic/Longyearbyen,+01:00,+02:00,CET,CEST
YE,Asia/Aden,+03:00,+03:00,3,
KZ,Asia/Almaty,+06:00,+06:00,6,
JO,Asia/Amman,+03:00,+03:00,3,
RU,Asia/Anadyr,+12:00,+12:00,12,
KZ,Asia/Aqtau,+05:00,+05:00,5,
KZ,Asia/Aqtobe,+05:00,+05:00,5,
TM,Asia/Ashgabat,+05:00,+05:00,5,
TM,Asia/Ashkhabad,+05:00,+05:00,5,
KZ,Asia/Atyrau,+05:00,+05:00,5,
IQ,Asia/Baghdad,+03:00,+03:00,3,
BH,Asia/Bahrain,+03:00,+03:00,3,
AZ,Asia/Baku,+04:00,+04:00,4,
"TH,?CX,?KH,?LA,?VN",Asia/Bangkok,+07:00,+07:00,7,
RU,Asia/Barnaul,+07:00,+07:00,7,
LB,Asia/Beirut,+02:00,+03:00,EET,EEST
KG,Asia/Bishkek,+06:00,+06:00,6,
BN,Asia/Brunei,+08:00,+08:00,8,
IN,Asia/Calcutta,+05:30,+05:30,IST,
RU,Asia/Chita,+09:00,+09:00,9,
MN,Asia/Choibalsan,+08:00,+08:00,8,
CN,Asia/Chongqing,+08:00,+08:00,CST,
CN,Asia/Chungking,+08:00,+08:00,CST,
LK,Asia/Colombo,+05:30,+05:30,530,
BD,Asia/Dacca,+06:00,+06:00,6,
SY,Asia/Damascus,+03:00,+03:00,3,
BD,Asia/Dhaka,+06:00,+06:00,6,
TL,Asia/Dili,+09:00,+09:00,9,
"AE,?OM,?RE,?SC,?TF",Asia/Dubai,+04:00,+04:00,4,
TJ,Asia/Dushanbe,+05:00,+05:00,5,
CY,Asia/Famagusta,+02:00,+03:00,EET,EEST
PS,Asia/Gaza,+02:00,+03:00,EET,EEST
CN,Asia/Harbin,+08:00,+08:00,CST,
PS,Asia/Hebron,+02:00,+03:00,EET,EEST
VN,Asia/Ho_Chi_Minh,+07:00,+07:00,7,
HK,Asia/Hong_Kong,+08:00,+08:00,HKT,
MN,Asia/Hovd,+07:00,+07:00,7,
RU,Asia/Irkutsk,+08:00,+08:00,8,
TR,Asia/Istanbul,+03:00,+03:00,3,
ID,Asia/Jakarta,+07:00,+07:00,WIB,
ID,Asia/Jayapura,+09:00,+09:00,WIT,
IL,Asia/Jerusalem,+02:00,+03:00,IST,IDT
AF,Asia/Kabul,+04:30,+04:30,430,
RU,Asia/Kamchatka,+12:00,+12:00,12,
PK,Asia/Karachi,+05:00,+05:00,PKT,
CN,Asia/Kashgar,+06:00,+06:00,6,
NP,Asia/Kathmandu,+05:45,+05:45,545,
